year,staNo,60,120,180,240,300,360,420,480,540,600,720,960,1080,1440,2880,4320
2010,O1J810,30.0,58.0,65.0,79.0,90.0,98.0,124.0,140.0,159.0,166.0,176.0,188.0,191.0,201.0,321.0,321.0
2011,O1J810,23.0,36.0,44.0,54.0,62.0,63.0,63.0,66.0,72.0,77.0,91.0,111.0,120.0,134.0,188.0,197.0
2012,O1J810,54.0,84.0,87.0,90.0,98.0,101.0,103.0,108.0,111.0,118.0,123.0,133.0,150.0,158.0,173.0,177.0
2013,O1J810,61.0,91.0,100.0,101.0,105.0,126.0,136.0,151.0,161.0,168.0,175.0,183.0,183.0,221.0,379.0,437.0
2014,O1J810,31.0,42.0,54.0,57.0,57.0,57.0,57.0,58.0,63.0,66.0,85.0,88.0,88.0,89.0,110.0,119.0
2015,O1J810,52.0,57.0,59.0,60.0,65.0,72.0,81.0,82.0,88.0,97.0,98.0,99.0,100.0,113.0,117.0,132.0
2016,O1J810,41.0,64.0,76.0,91.0,95.0,95.0,99.0,103.0,117.0,137.0,158.0,165.0,166.0,204.0,231.0,231.0
2017,O1J810,36.0,55.0,61.0,74.0,85.0,99.0,123.0,142.0,152.0,163.0,185.0,206.0,217.0,221.0,233.0,244.0
2018,O1J810,39.0,57.0,74.0,100.0,121.0,134.0,156.0,182.0,195.0,198.0,202.0,248.0,291.0,335.0,391.0,427.0
2019,O1J810,34.0,44.0,54.0,56.0,71.0,71.0,76.0,77.0,77.0,77.0,78.0,78.0,79.0,88.0,111.0,121.0
2020,O1J810,38.0,46.0,56.0,64.0,64.0,64.0,64.0,64.0,64.0,67.0,71.0,72.0,72.0,76.0,94.0,126.0
