year,staNo,60,120,180,240,300,360,420,480,540,600,720,960,1080,1440,2880,4320
1990,466990,106.0,210.0,230.0,257.5,270.5,278.0,288.0,294.5,300.0,304.5,344.5,361.0,361.5,412.0,749.0,782.5
1991,466990,65.0,99.0,110.5,122.5,132.0,147.0,172.0,182.5,189.5,196.0,234.5,316.5,320.5,333.5,336.4,357.9
1992,466990,66.5,87.0,108.5,125.5,138.0,143.0,147.0,149.5,161.0,173.0,202.5,259.5,299.0,346.0,546.0,585.5
1994,466990,51.0,64.5,75.0,83.0,92.5,100.5,109.5,124.0,139.0,146.5,161.5,195.0,202.5,234.5,284.0,291.0
1995,466990,40.5,71.5,95.5,118.5,124.5,129.5,143.5,148.5,150.5,156.0,163.5,179.5,181.0,185.0,269.5,270.0
1996,466990,90.0,173.0,235.5,283.0,322.5,367.0,397.5,427.0,450.0,470.0,507.5,542.0,560.0,586.0,649.5,653.5
1997,466990,54.0,73.0,81.5,104.0,132.0,152.5,170.5,174.5,174.5,180.0,203.5,218.5,219.5,284.5,346.5,414.5
1998,466990,53.5,96.5,115.5,148.0,172.0,198.5,226.0,258.0,282.0,297.5,329.0,394.0,411.0,443.5,575.0,670.0
1999,466990,48.0,71.0,80.5,83.5,85.0,102.0,111.5,118.5,128.0,132.5,133.0,138.0,139.5,147.0,158.5,194.5
2000,466990,54.5,78.0,99.0,104.5,113.0,130.0,146.0,162.5,173.0,185.5,211.0,255.5,282.0,366.0,415.5,423.5
2001,466990,61.5,103.0,111.5,116.5,124.5,145.0,156.5,160.5,169.0,189.5,209.5,275.0,290.5,311.5,491.0,632.5
2002,466990,49.5,61.5,72.5,77.0,78.5,80.0,80.0,80.0,80.0,81.0,88.5,92.5,92.5,93.0,111.5,150.5
2003,466990,83.0,100.5,107.5,111.5,113.0,114.0,114.0,114.0,114.0,116.5,118.0,118.0,123.0,146.5,227.0,230.0
2004,466990,58.5,80.0,110.5,133.0,150.5,165.0,181.0,195.0,213.0,236.0,255.0,309.5,328.5,368.0,411.0,447.5
2005,466990,71.0,115.0,151.5,188.0,204.0,225.0,250.0,266.5,282.5,294.0,302.5,318.0,333.5,382.5,436.5,489.0
2006,466990,37.5,55.0,76.0,95.5,116.0,137.0,163.0,172.5,175.0,184.5,188.5,191.5,191.5,191.5,223.5,223.5
2007,466990,96.0,130.5,160.5,195.0,213.5,238.0,267.5,286.0,310.5,329.0,341.5,365.0,375.5,392.5,445.5,447.0
2008,466990,48.0,95.5,122.5,137.0,150.5,174.0,187.5,199.0,221.5,231.0,242.5,273.0,293.0,321.0,398.5,405.5
2009,466990,52.0,84.5,117.0,125.0,131.5,138.5,145.0,158.5,177.5,192.5,219.0,255.0,271.0,348.0,505.5,508.5
2010,466990,57.5,89.5,113.0,131.0,143.0,154.5,172.5,186.0,191.5,199.0,206.0,216.5,221.0,228.5,248.5,357.0
2011,466990,74.0,90.5,91.5,100.5,108.0,121.0,143.0,161.0,195.5,197.5,213.0,244.0,268.0,288.5,379.5,399.0
2012,466990,48.5,88.5,103.5,126.0,134.5,137.5,141.5,150.0,166.0,177.5,187.5,204.0,208.5,224.0,313.0,423.0
2013,466990,33.5,64.0,91.0,93.5,95.0,106.5,115.0,120.5,133.5,145.0,175.0,195.5,196.0,198.5,278.5,295.0
2014,466990,41.0,76.0,92.5,118.5,133.5,144.0,151.0,157.5,168.0,185.0,203.0,237.5,256.0,308.5,325.0,325.0
2015,466990,53.5,73.5,88.0,99.0,108.0,117.5,132.5,147.0,158.0,160.5,168.5,178.5,179.5,185.0,229.0,233.5
2016,466990,72.5,96.0,116.5,131.0,141.5,146.5,150.5,153.5,164.0,165.5,180.0,216.0,231.0,284.0,383.0,411.0
2017,466990,40.0,66.0,100.5,114.0,136.5,143.0,148.5,149.5,154.0,155.0,177.5,199.0,221.0,268.0,497.0,570.0
2018,466990,43.0,65.0,72.0,80.0,98.0,107.5,114.5,115.0,118.0,118.0,126.0,129.5,129.5,129.5,131.0,196.5
2019,466990,51.5,65.0,69.5,77.5,91.0,99.5,123.0,140.5,154.0,155.0,165.0,166.5,166.5,177.0,225.0,225.9
2020,466990,33.5,55.0,61.0,61.5,62.0,64.0,64.5,66.0,70.5,73.5,75.5,77.0,77.0,77.0,98.5,104.8
