year,staNo,60,120,180,240,300,360,420,480,540,600,720,960,1080,1440,2880,4320
2004,00H710,110.0,183.0,221.0,234.0,241.0,261.0,267.0,271.0,273.0,273.0,275.0,285.0,288.0,292.0,541.0,635.0
2005,00H710,58.0,65.0,73.0,83.0,94.0,107.0,122.0,135.0,156.0,165.0,178.0,190.0,209.0,239.0,349.0,379.0
2006,00H710,51.0,80.0,99.0,113.0,125.0,138.0,150.0,164.0,172.0,189.0,195.0,228.0,253.0,288.0,410.0,450.0
2007,00H710,57.0,97.0,126.0,132.0,136.0,137.0,146.0,157.0,168.0,177.0,189.0,224.0,238.0,249.0,265.0,265.0
2008,00H710,73.0,125.0,157.0,159.0,164.0,185.0,205.0,215.0,237.0,249.0,266.0,283.0,306.0,336.0,487.0,496.0
2009,00H710,61.0,81.0,101.0,123.0,144.0,165.0,181.0,197.0,211.0,222.0,257.0,336.0,355.0,461.0,535.0,584.0
2010,00H710,77.0,116.0,131.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,174.0,186.0
2011,00H710,52.0,77.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,92.0,99.0,122.0,157.0,169.0
2012,00H710,75.0,124.0,171.0,194.0,225.0,271.0,318.0,362.0,385.0,408.0,447.0,490.0,501.0,518.0,526.0,532.0
2013,00H710,68.0,109.0,115.0,136.0,172.0,197.0,214.0,224.0,241.0,248.0,260.0,291.0,328.0,373.0,382.0,399.0
2014,00H710,51.0,63.0,86.0,102.0,119.0,144.0,163.0,178.0,184.0,185.0,192.0,247.0,254.0,261.0,262.0,284.0
2015,00H710,43.0,60.0,90.0,101.0,105.0,118.0,119.0,119.0,120.0,123.0,123.0,128.0,129.0,145.0,236.0,288.0
2016,00H710,75.0,81.0,82.0,82.0,88.0,91.0,92.0,92.0,92.0,92.0,102.0,116.0,121.0,129.0,132.0,148.0
2017,00H710,85.0,130.0,172.0,186.0,228.0,241.0,243.0,257.0,270.0,272.0,276.0,296.0,350.0,405.0,533.0,577.0
2018,00H710,107.0,115.0,116.0,118.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,124.0,131.0,154.0,180.0,287.0
2019,00H710,50.0,76.0,81.0,84.0,84.0,84.0,84.0,84.0,90.0,93.0,97.0,103.0,105.0,127.0,174.0,208.0
2020,00H710,44.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,74.0,106.0,112.0
